id_product,category,product_name,id_subcategory
1,Furniture,Bush Somerset Collection Bookcase,1
2,Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",2
3,Office Supplies,Self-Adhesive Address Labels for Typewriters by Universal,3
4,Furniture,Bretford CR4500 Series Slim Rectangular Table,4
5,Office Supplies,Eldon Fold 'N Roll Cart System,5
6,Furniture,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",6
7,Office Supplies,Newell 322,7
8,Technology,Mitel 5320 IP Phone VoIP phone,8
9,Office Supplies,DXL Angle-View Binders with Locking Rings by Samsill,9
10,Office Supplies,Belkin F5C206VTEL 6 Outlet Surge,10
11,Furniture,Chromcraft Rectangular Conference Tables,4
12,Technology,Konftel 250 Conference phone - Charcoal black,8
13,Office Supplies,Xerox 1967,11
14,Office Supplies,Fellowes PB200 Plastic Comb Binding Machine,9
15,Office Supplies,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",10
16,Office Supplies,Storex DuraTech Recycled Plastic Frosted Binders,9
17,Office Supplies,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",5
18,Office Supplies,Fellowes Super Stor/Drawer,5
19,Office Supplies,Newell 341,7
20,Technology,Cisco SPA 501G IP Phone,8
21,Office Supplies,"Wilson Jones Hanging View Binder, White, 1""",9
22,Office Supplies,Newell 318,7
23,Office Supplies,"Acco Six-Outlet Power Strip, 4' Cord Length",10
24,Furniture,"Global Deluxe Stacking Chair, Gray",2
25,Office Supplies,Wilson Jones Active Use Binders,9
26,Technology,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,12
27,Furniture,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",1
28,Office Supplies,Avery Recycled Flexi-View Covers for Binding Systems,9
29,Furniture,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",6
30,Office Supplies,Poly String Tie Envelopes,13
31,Office Supplies,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",7
32,Office Supplies,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",9
33,Office Supplies,Lumber Crayons,7
34,Office Supplies,Easy-staple paper,11
35,Technology,GE 30524EE4,8
36,Furniture,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",6
37,Office Supplies,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",13
38,Furniture,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",1
39,Furniture,"Global Fabric Manager's Chair, Dark Gray",2
40,Technology,Plantronics HL10 Handset Lifter,8
41,Technology,Panasonic Kx-TS550,8
42,Office Supplies,"Eldon Base for stackable storage shelf, platinum",5
43,Office Supplies,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",5
44,Technology,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",12
45,Office Supplies,Wilson Jones Leather-Like Binders with DublLock Round Rings,9
46,Office Supplies,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",5
47,Technology,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,12
48,Technology,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",8
49,Office Supplies,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",9
50,Office Supplies,Avery 485,3
51,Furniture,Longer-Life Soft White Bulbs,6
52,Furniture,"Global Leather Task Chair, Black",2
53,Office Supplies,Advantus Push Pins,14
54,Technology,AT&T CL83451 4-Handset Telephone,8
55,Office Supplies,Home/Office Personal File Carts,5
56,Office Supplies,Xerox 232,11
57,Furniture,Novimex Turbo Task Chair,2
58,Office Supplies,"Array Parchment Paper, Assorted Colors",11
59,Office Supplies,Plastic Binding Combs,9
60,Office Supplies,Prang Dustless Chalk Sticks,7
61,Technology,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",12
62,Office Supplies,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",9
63,Office Supplies,Xerox 1943,11
64,Furniture,Luxo Economy Swing Arm Lamp,6
65,Furniture,"Global Value Mid-Back Manager's Chair, Gray",2
66,Office Supplies,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",7
67,Technology,netTALK DUO VoIP Telephone Service,8
68,Office Supplies,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",11
69,Office Supplies,Avery Binding System Hidden Tab Executive Style Index Sets,9
70,Office Supplies,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",11
71,Furniture,High-Back Leather Manager's Chair,2
72,Furniture,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",6
73,Office Supplies,Safco Industrial Wire Shelving System,5
74,Office Supplies,Economy Binders,9
75,Furniture,"6"" Cubicle Wall Clock, Black",6
76,Office Supplies,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",5
77,Furniture,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",6
78,Office Supplies,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",10
79,Office Supplies,Avery Heavy-Duty EZD  Binder With Locking Rings,9
80,Office Supplies,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",7
81,Office Supplies,"Sortfiler Multipurpose Personal File Organizer, Black",5
82,Office Supplies,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,13
83,Office Supplies,Safco Industrial Wire Shelving,5
84,Furniture,Novimex Swivel Fabric Task Chair,2
85,Technology,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,12
86,Office Supplies,Avery 511,3
87,Office Supplies,Eldon Portable Mobile Manager,5
88,Office Supplies,Turquoise Lead Holder with Pocket Clip,7
89,Office Supplies,Xerox 1995,11
90,Office Supplies,Xerox 1999,11
91,Furniture,"Seth Thomas 13 1/2"" Wall Clock",6
92,Office Supplies,Ibico Standard Transparent Covers,9
93,Office Supplies,Flexible Leather- Look Classic Collection Ring Binder,9
94,Furniture,9-3/4 Diameter Round Wall Clock,6
95,Office Supplies,Trimflex Flexible Post Binders,9
96,Office Supplies,Fellowes Basic Home/Office Series Surge Protectors,10
97,Office Supplies,Avery Personal Creations Heavyweight Cards,11
98,Technology,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,12
99,Office Supplies,Avery Hidden Tab Dividers for Binding Systems,9
100,Office Supplies,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),11
101,Technology,Logitech K350 2.4Ghz Wireless Keyboard,12
102,Furniture,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",6
103,Office Supplies,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",9
104,Technology,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,12
105,Technology,Speck Products Candyshell Flip Case,8
106,Office Supplies,Newell Chalk Holder,7
107,Technology,Logitech Gaming G510s - Keyboard,12
108,Furniture,Magnifier Swing Arm Lamp,6
109,Office Supplies,"Hunt PowerHouse Electric Pencil Sharpener, Blue",7
110,Office Supplies,"Avery Durable Plastic 1"" Binders",9
111,Office Supplies,"OIC Colored Binder Clips, Assorted Sizes",14
112,Office Supplies,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",13
113,Office Supplies,Xerox 1921,11
114,Office Supplies,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",13
115,Furniture,Hon Racetrack Conference Tables,4
116,Office Supplies,GBC DocuBind 300 Electric Binding Machine,9
117,Furniture,Artistic Insta-Plaque,6
118,Office Supplies,"Companion Letter/Legal File, Black",5
119,Office Supplies,Globe Weis Peel & Seel First Class Envelopes,13
120,Technology,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,8
121,Furniture,Global Deluxe High-Back Manager's Chair,2
122,Furniture,Bevis 44 x 96 Conference Tables,4
123,Office Supplies,"Avery Durable Slant Ring Binders, No Labels",9
124,Office Supplies,"Trav-L-File Heavy-Duty Shuttle II, Black",5
125,Furniture,"Global Task Chair, Black",2
126,Furniture,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,6
127,Technology,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,8
128,Office Supplies,Xerox 1916,11
129,Office Supplies,Staples,14
130,Office Supplies,Xerox 195,11
131,Office Supplies,Xerox 1880,11
132,Office Supplies,"Sanford Colorific Colored Pencils, 12/Box",7
133,Office Supplies,Ideal Clamps,14
134,Office Supplies,GBC Wire Binding Strips,9
135,Office Supplies,Fiskars Softgrip Scissors,15
136,Office Supplies,Newell 343,7
137,Office Supplies,Convenience Packs of Business Envelopes,13
138,Office Supplies,Xerox 1911,11
139,Office Supplies,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,10
140,Furniture,"Seth Thomas 14"" Putty-Colored Wall Clock",6
141,Technology,Plantronics Cordless Phone Headset with In-line Volume - M214C,8
142,Technology,Anker Astro 15000mAh USB Portable Charger,8
143,Office Supplies,GBC Prestige Therm-A-Bind Covers,9
144,Office Supplies,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,10
145,Technology,Jabra BIZ 2300 Duo QD Duo Corded Headset,8
146,Office Supplies,Southworth 25% Cotton Antique Laid Paper & Envelopes,11
147,Office Supplies,Xerox 1883,11
148,Office Supplies,"Tenex Personal Project File with Scoop Front Design, Black",5
149,Office Supplies,Newell 311,7
150,Office Supplies,Avery 519,3
151,Technology,Avaya 5420 Digital phone,8
152,Office Supplies,Xerox 1920,11
153,Technology,Lenovo 17-Key USB Numeric Keypad,12
154,Office Supplies,Staple envelope,13
155,Office Supplies,Wilson Jones International Size A4 Ring Binders,9
156,Office Supplies,BIC Brite Liner Highlighters,7
157,Technology,Lexmark MX611dhe Monochrome Laser Printer,16
158,Office Supplies,Space Solutions HD Industrial Steel Shelving.,5
159,Furniture,SAFCO Arco Folding Chair,2
160,Office Supplies,Sanford Liquid Accent Highlighters,7
161,Office Supplies,Kensington 7 Outlet MasterPiece Power Center,10
162,Technology,JBL Micro Wireless Portable Bluetooth Speaker,8
163,Office Supplies,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",11
164,Office Supplies,Xerox 1913,11
165,Furniture,"Global Value Steno Chair, Gray",2
166,Office Supplies,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,10
167,Office Supplies,Avery 51,3
168,Office Supplies,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",10
169,Furniture,"Padded Folding Chairs, Black, 4/Carton",2
170,Office Supplies,Acme Rosewood Handle Letter Opener,15
171,Office Supplies,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",7
172,Office Supplies,"Tenex File Box, Personal Filing Tote with Lid, Black",5
173,Technology,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,12
174,Technology,AT&T TR1909W,8
175,Technology,Nokia Lumia 521 (T-Mobile),8
176,Technology,HP Standard 104 key PS/2 Keyboard,12
177,Office Supplies,Avery Poly Binder Pockets,9
178,Technology,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,12
179,Office Supplies,"Personal Filing Tote with Lid, Black/Gray",5
180,Furniture,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",1
181,Technology,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,8
182,Office Supplies,Xerox 205,11
183,Office Supplies,4009 Highlighters by Sanford,7
184,Office Supplies,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7
